Movie_Title ,Released_Year,Humour_Type,Scene_Type,Duration_Sec,Total_Cuts,Word_Count,Tension_Score,Notes
Superbad,2007,Cringe Comedy,Hook,254,64,501,7,"The sequence is verbally rich, but the awkardness can be strongly felt. "
Superbad,2007,Cringe Comedy,Conflict,190,66,449,5,"The sequence is more of absurd speech, with no much tension being created. "
Superbad,2007,Cringe Comedy,Climax,832,175,1378,8,"A pretty long sequence, with high word usages and high vulgar visuals. "
Hot Fuzz,2007,Visual Parody,Hook,148,95,272,5,"A sequence with aggressive editing, featuring the introduction of the main character. "
Hot Fuzz,2007,Visual Parody,Conflict,150,87,141,7,"Normal editing, along with a semi-chaotic situation, is the matter of this sequence. "
Hot Fuzz,2007,Visual Parody,Climax,1055,728,756,10,"An extremely chaotic sequence, visually and technically. "
The Hangover,2009,Chaos Comedy,Hook,306,61,426,6,A mystery-oriented sequence where the main characters are totally confused. 
The Hangover,2009,Chaos Comedy,Conflict,265,51,372,8,"A sequence that creates tension, where the main characters deal with a tiger. "
The Hangover,2009,Chaos Comedy,Climax,349,97,743,8,A confusion-oriented sequence with moderate cuts and maximum dialogues. 
Bridesmaids,2011,Cringe Comedy,Hook,272,69,478,7,"A normal introduction sequence of the main characters, more verbally presented, under the light of social conflict. "
Bridesmaids,2011,Cringe Comedy,Conflict,422,121,889,10,"A tension-filled sequence, where the group had to face the consequences caused due to the food poisoning issue. "
Bridesmaids,2011,Cringe Comedy,Climax,368,85,651,8,An emotionally hooking sequence potraying an happy ending. 
Birdman,2014,Dark Comedy,Hook,117,1,86,4,An absurd setup within a quiet ambience and sufficient dialogues. 
Birdman,2014,Dark Comedy,Conflict,207,1,313,8,Main character vs Society - Physical slapstick reflected humour and tension at once. 
Birdman,2014,Dark Comedy,Climax,280,1,198,10,An highly risky sequence depicting a game with the life of the main character.  
The Grand Budapest Hotel,2014,Visual Comedy,Hook,346,57,611,5,A verbally-rich will reading sequence where the clash of expectations serve as the center of the situation. 
The Grand Budapest Hotel,2014,Visual Comedy,Conflict,259,39,93,8,"A prison-breaking sequence, pretty risk, more of edits than the words. "
The Grand Budapest Hotel,2014,Visual Comedy,Climax,136,47,77,10,An adventorous sequence where the antagonist and the protagonists are face-to-face. 
What we Do in the Shadows,2014,Mockumentary,Hook,488,86,856,3,A normal documentary style introduction sequence presented within an ambience of the horror. 
What we Do in the Shadows,2014,Mockumentary,Conflict,307,57,452,8,An horrifying sequence featuring absurdity and life-threathening ambience based on an important character called Nick. 
What we Do in the Shadows,2014,Mockumentary,Climax,534,167,1181,10,A life-at-risk sequence where a normal human (Stu) is amongst the fierce vampires in an Unholy Masquerade event.  
Palm Springs,2020,Sci-Fi Comedy,Hook,217,74,309,2,"A normal, verbally rich emotional sequence. "
Palm Springs,2020,Sci-Fi Comedy,Conflict,210,68,174,9,"An horrifying sequence with accelerated visual edits, featuring a dangerous scenario faced by the main characters. "
Palm Springs,2020,Sci-Fi Comedy,Climax,316,79,494,9,A verbally richer sequence of the main characters playing with the life at risk. 
